Unnamed: 0,Job Id,Experience,Qualifications,Salary Range (K),Min Salary (K),Max Salary (K),Country,Work Type,Company Size,Job Posting Date,Predicted Industry,Job Title,Role,Job Portal,Job Description,Benefits,skills,Responsibilities,Company,Company Profile,Text,Cluster Name,Broader Category,Average Salary (K),Year-Quarter
208149,2900772033365681.0,1 to 14 Years,B.Com,34,65,99,Singapore,Part-Time,15382,2023-04-21,4,Civil Engineer,Structural Engineer,The Muse,"A Structural Engineer designs and analyzes the structural integrity of buildings, bridges, and other structures. They ensure safety and compliance with engineering standards.","Transportation Benefits, Professional Development, Bonuses and Incentive Programs, Profit-Sharing, Employee Discounts","['Structural engineering principles""', 'Structural analysis and design software""', 'Auto""', 'C""', 'A""', 'D""', 'S""', 'A""', 'P2000""', 'Building codes and standards""', 'Project management""', 'Structural integrity assessment]""]]]]]']",Design and analyze structural components and systems for buildings and infrastructure projects. Ensure structural safety and compliance with codes and standards. Collaborate with architects and contractors.,Bristol-Myers Squibb,"{""Sector"":""Healthcare"",""Industry"":""Pharmaceuticals"",""City"":""New York"",""State"":""New York"",""Zip"":""10016"",""Website"":""www.bms.com"",""Ticker"":""BMY"",""CEO"":""Giovanni Caforio""}","Civil Engineer Design and analyze structural components and systems for buildings and infrastructure projects. Ensure structural safety and compliance with codes and standards. Collaborate with architects and contractors. Structural engineering principles Structural analysis and design software , e, g,  AutoCAD,  SAP2000,  Building codes and standards Project management Structural integrity assessment",Engineering & Architecture,Engineering,82.0,2023Q2
210732,755432000000000.0,4 to 8 Years,B.Tech,47,61,108,Singapore,Part-Time,101873,2023-05-15,4,Mechanical Engineer,Manufacturing Engineer,SimplyHired,"Manufacturing Engineers optimize manufacturing processes, improve production efficiency, and ensure product quality in manufacturing environments.","Health Insurance, Retirement Plans, Paid Time Off (PTO), Flexible Work Arrangements, Employee Assistance Programs (EAP)","['Manufacturing processes knowledge""', 'C""', 'A""', 'D""', 'C""', 'A""', 'M software proficiency""', 'Lean manufacturing principles""', 'Quality control and assurance""', 'Six""', 'Sigma certification]""]]]]]']",Improve manufacturing processes and production efficiency. Collaborate with production teams to implement lean manufacturing principles. Optimize manufacturing workflows and quality control.,Conagra Brands,"{""Sector"":""Food"",""Industry"":""Food Consumer Products"",""City"":""Chicago"",""State"":""Illinois"",""Zip"":""60654"",""Website"":""www.conagrabrands.com"",""Ticker"":""CAG"",""CEO"":""Sean M. Connolly""}","Mechanical Engineer Improve manufacturing processes and production efficiency. Collaborate with production teams to implement lean manufacturing principles. Optimize manufacturing workflows and quality control. Manufacturing processes knowledge CAD, CAM software proficiency Lean manufacturing principles Quality control and assurance Six Sigma certification",Engineering & Architecture,Engineering,84.5,2023Q2
213207,2283055599765858.0,2 to 14 Years,MCA,27,56,83,Singapore,Intern,77119,2023-02-16,4,Landscape Architect,Residential Landscape Designer,Snagajob,Create aesthetically pleasing and functional landscape designs for residential properties.,"Legal Assistance, Bonuses and Incentive Programs, Wellness Programs, Employee Discounts, Retirement Plans","['Landscape design""', 'Plant selection and care""', 'Hardscape design]""]]]]]']","Specialize in designing residential outdoor spaces, including gardens and yards. Create landscape plans, select plants, and oversee installation. Enhance curb appeal and functionality.",Hilton Worldwide Holdings,"{""Sector"":""Hospitality"",""Industry"":""Hotels, Casinos, Resorts"",""City"":""McLean"",""State"":""Virginia"",""Zip"":""22102"",""Website"":""www.hilton.com"",""Ticker"":""HLT"",""CEO"":""Christopher J. Nassetta""}","Landscape Architect Specialize in designing residential outdoor spaces, including gardens and yards. Create landscape plans, select plants, and oversee installation. Enhance curb appeal and functionality. Landscape design Plant selection and care Hardscape design",Engineering & Architecture,Engineering,69.5,2023Q1
213686,2621954880246352.0,5 to 13 Years,M.Tech,38,56,94,Singapore,Intern,72664,2023-02-13,4,Mechanical Designer,HVAC Systems Designer,The Muse,"Design and optimize heating, ventilation, and air conditioning (HVAC) systems for buildings, focusing on energy efficiency and comfort.","Childcare Assistance, Paid Time Off (PTO), Relocation Assistance, Flexible Work Arrangements, Professional Development","['H""', 'V""', 'A""', 'C system design""', 'Load calculations""', 'Energy efficiency""', 'Auto""', 'C""', 'A""', 'D or similar software""', 'Mechanical engineering principles""', 'Collaboration with architects and engineers""', 'Regulatory compliance""', 'Problem""', 'Attention to detail""', 'Communication skills]""]]]]]']","Specialize in designing heating, ventilation, and air conditioning (HVAC) systems. Calculate load requirements and select HVAC equipment. Ensure energy efficiency and compliance.",GAIL (India) Limited,"{""Sector"":""Natural Gas"",""Industry"":""Gas and Energy"",""City"":""New Delhi"",""State"":""Delhi"",""Zip"":""110016"",""Website"":""https://www.gailonline.com/"",""Ticker"":""GAIL"",""CEO"":""Manoj Jain""}","Mechanical Designer Specialize in designing heating, ventilation, and air conditioning (HVAC) systems. Calculate load requirements and select HVAC equipment. Ensure energy efficiency and compliance. HVAC system design Load calculations Energy efficiency AutoCAD or similar software Mechanical engineering principles Collaboration with architects and engineers Regulatory compliance Problem, solving Attention to detail Communication skills",Engineering & Architecture,Engineering,75.0,2023Q1
225917,2191299044404250.0,5 to 13 Years,BBA,47,61,108,Singapore,Intern,131557,2022-09-11,4,Architect,Sustainable Design Specialist,USAJOBS,"Sustainable Design Specialists incorporate eco-friendly practices into architectural designs, promoting energy efficiency and environmental sustainability.","Employee Referral Programs, Financial Counseling, Health and Wellness Facilities, Casual Dress Code, Flexible Spending Accounts (FSAs)","['Sustainable design principles""', 'Energy efficiency""', 'L""', 'E""', 'E""', 'D certification""', 'Green building materials""', 'Environmental impact assessment]""]]]]]']",Focus on sustainable and eco-friendly architectural practices. Integrate green building technologies and materials into architectural designs. Advise on energy-efficient building solutions.,Textron,"{""Sector"":""Aerospace & Defense"",""Industry"":""Aerospace & Defense"",""City"":""Providence"",""State"":""Rhose Island"",""Zip"":""2903"",""Website"":""www.textron.com"",""Ticker"":""TXT"",""CEO"":""Scott C. Donnelly""}",Architect Focus on sustainable and eco-friendly architectural practices. Integrate green building technologies and materials into architectural designs. Advise on energy-efficient building solutions. Sustainable design principles Energy efficiency LEED certification Green building materials Environmental impact assessment,Engineering & Architecture,Engineering,84.5,2022Q3
228112,1876619447287850.0,1 to 12 Years,BCA,51,60,111,Singapore,Intern,110479,2023-06-07,4,Landscape Architect,Urban Planner,Monster,"Develop and implement urban planning strategies, manage land use, and ensure sustainable city development.","Legal Assistance, Bonuses and Incentive Programs, Wellness Programs, Employee Discounts, Retirement Plans","['Urban design and planning""', 'Zoning regulations""', 'G""', 'I""', 'S and mapping tools]""]]]]]']","Plan and design urban spaces, parks, and recreational areas. Consider sustainability and community needs in design. Collaborate with city planners and architects.",Fox,"{""Sector"":""Media"",""Industry"":""Entertainment"",""City"":""New York"",""State"":""New York"",""Zip"":""10036"",""Website"":""www.foxcorporation.com"",""Ticker"":""FOXA"",""CEO"":""Lachlan K. Murdoch""}","Landscape Architect Plan and design urban spaces, parks, and recreational areas. Consider sustainability and community needs in design. Collaborate with city planners and architects. Urban design and planning Zoning regulations GIS and mapping tools",Engineering & Architecture,Engineering,85.5,2023Q2
228434,444154000000000.0,0 to 8 Years,B.Tech,45,62,107,Singapore,Full-Time,39022,2022-02-02,4,Architect,Architectural Designer,Snagajob,"Architectural Designers create architectural plans and designs for buildings and structures, considering aesthetics, functionality, and safety standards.","Employee Assistance Programs (EAP), Tuition Reimbursement, Profit-Sharing, Transportation Benefits, Parental Leave","['Architectural design software""', 'Auto""', 'C""', 'A""', 'D""', 'Revit""', 'Building codes and regulations 3""', 'D modeling""', 'Visualization""', 'Sustainable design]""]]]]]']",Design architectural plans and layouts for buildings and structures. Create detailed drawings and blueprints. Ensure designs comply with building codes and regulations.,Tata Steel,"{""Sector"":""Steel & Metals"",""Industry"":""Steel"",""City"":""Mumbai"",""State"":""Maharashtra"",""Zip"":""400098"",""Website"":""https://www.tatasteel.com/"",""Ticker"":""TATASTEEL"",""CEO"":""T.V. Narendran""}","Architect Design architectural plans and layouts for buildings and structures. Create detailed drawings and blueprints. Ensure designs comply with building codes and regulations. Architectural design software , e, g,  AutoCAD,  Revit,  Building codes and regulations 3D modeling Visualization Sustainable design",Engineering & Architecture,Engineering,84.5,2022Q1
228881,2912858960903133.0,4 to 10 Years,BA,34,63,97,Singapore,Contract,96844,2022-03-02,4,Mechanical Designer,HVAC Systems Designer,Jobs2Careers,"Design and optimize heating, ventilation, and air conditioning (HVAC) systems for buildings, focusing on energy efficiency and comfort.","Casual Dress Code, Social and Recreational Activities, Employee Referral Programs, Health and Wellness Facilities, Life and Disability Insurance","['H""', 'V""', 'A""', 'C system design""', 'Load calculations""', 'Energy efficiency""', 'Auto""', 'C""', 'A""', 'D or similar software""', 'Mechanical engineering principles""', 'Collaboration with architects and engineers""', 'Regulatory compliance""', 'Problem""', 'Attention to detail""', 'Communication skills]""]]]]]']","Specialize in designing heating, ventilation, and air conditioning (HVAC) systems. Calculate load requirements and select HVAC equipment. Ensure energy efficiency and compliance.",Lear,"{""Sector"":""Automotive"",""Industry"":""Motor Vehicles & Parts"",""City"":""Southfield"",""State"":""Michigan"",""Zip"":""48033"",""Website"":""www.lear.com"",""Ticker"":""LEA"",""CEO"":""Raymond E. Scott""}","Mechanical Designer Specialize in designing heating, ventilation, and air conditioning (HVAC) systems. Calculate load requirements and select HVAC equipment. Ensure energy efficiency and compliance. HVAC system design Load calculations Energy efficiency AutoCAD or similar software Mechanical engineering principles Collaboration with architects and engineers Regulatory compliance Problem, solving Attention to detail Communication skills",Engineering & Architecture,Engineering,80.0,2022Q1
229139,993900000000000.0,5 to 13 Years,M.Tech,58,55,113,Singapore,Intern,90914,2022-07-19,4,Architect,Architectural Designer,Jobs2Careers,"Architectural Designers create architectural plans and designs for buildings and structures, considering aesthetics, functionality, and safety standards.","Tuition Reimbursement, Stock Options or Equity Grants, Parental Leave, Wellness Programs, Childcare Assistance","['Architectural design software""', 'Auto""', 'C""', 'A""', 'D""', 'Revit""', 'Building codes and regulations 3""', 'D modeling""', 'Visualization""', 'Sustainable design]""]]]]]']",Design architectural plans and layouts for buildings and structures. Create detailed drawings and blueprints. Ensure designs comply with building codes and regulations.,HCA Healthcare,"{""Sector"":""Healthcare"",""Industry"":""Health Care: Medical Facilities"",""City"":""Nashville"",""State"":""Tennessee"",""Zip"":""37203"",""Website"":""www.hcahealthcare.com"",""Ticker"":""HCA"",""CEO"":""Samuel N. Hazen""}","Architect Design architectural plans and layouts for buildings and structures. Create detailed drawings and blueprints. Ensure designs comply with building codes and regulations. Architectural design software , e, g,  AutoCAD,  Revit,  Building codes and regulations 3D modeling Visualization Sustainable design",Engineering & Architecture,Engineering,84.0,2022Q3
230068,1346181686429527.0,1 to 10 Years,M.Tech,35,62,97,Singapore,Part-Time,30731,2022-07-02,4,Urban Planner,City Planner,Internships.com,"City Planners develop and implement urban planning strategies. They work to improve communities, manage resources, and address issues related to land use and infrastructure.","Health Insurance, Retirement Plans, Flexible Work Arrangements, Employee Assistance Programs (EAP), Bonuses and Incentive Programs","['Urban planning""', 'Zoning regulations""', 'Environmental planning""', 'G""', 'I""', 'S proficiency""', 'Community engagement]""]]]]]']","Plan and develop land use strategies for urban areas. Collaborate with government agencies and stakeholders. Address zoning, infrastructure, and transportation needs.",Ecolab,"{""Sector"":""Water & Hygiene"",""Industry"":""Chemicals"",""City"":""St. Paul"",""State"":""Minnesota"",""Zip"":""55102"",""Website"":""www.ecolab.com"",""Ticker"":""ECL"",""CEO"":""Christophe Beck""}","Urban Planner Plan and develop land use strategies for urban areas. Collaborate with government agencies and stakeholders. Address zoning, infrastructure, and transportation needs. Urban planning Zoning regulations Environmental planning GIS proficiency Community engagement",Engineering & Architecture,Engineering,79.5,2022Q3
239150,750242000000000.0,3 to 13 Years,M.Com,17,63,80,Singapore,Full-Time,41473,2023-02-24,4,Civil Engineer,Water Resources Engineer,SimplyHired,"A Water Resources Engineer manages and develops water-related projects, such as dams, irrigation systems, and flood control measures, to ensure water resource sustainability.","Employee Assistance Programs (EAP), Tuition Reimbursement, Profit-Sharing, Transportation Benefits, Parental Leave","['Water resources engineering""', 'Hydrology and hydraulics""', 'Environmental impact assessment""', 'Water resource modeling software""', 'Watershed management]""]]]]]']","Focus on water-related projects, such as flood control, water supply, and wastewater treatment. Design and manage water resource systems and infrastructure. Address water quality and conservation issues.",Tractor Supply Company,"{""Sector"":""Retail"",""Industry"":""Retail - Farm and Ranch Supplies"",""City"":""Brentwood"",""State"":""TN"",""Zip"":""37027"",""Website"":""https://www.tractorsupply.com/"",""Ticker"":""TSCO"",""CEO"":""Hal Lawton""}","Civil Engineer Focus on water-related projects, such as flood control, water supply, and wastewater treatment. Design and manage water resource systems and infrastructure. Address water quality and conservation issues. Water resources engineering Hydrology and hydraulics Environmental impact assessment Water resource modeling software Watershed management",Engineering & Architecture,Engineering,71.5,2023Q1
240018,2636051924369457.0,2 to 12 Years,PhD,39,63,102,Singapore,Contract,79716,2022-09-04,4,QA Engineer,QA Manager,SimplyHired,"A QA Manager is responsible for leading and managing the quality assurance team. They ensure product quality, develop and implement QA processes, and maintain quality standards.","Employee Assistance Programs (EAP), Tuition Reimbursement, Profit-Sharing, Transportation Benefits, Parental Leave","['Quality assurance""', 'Process improvement""', 'Team leadership""', 'Problem""', 'Quality control]""]]]]]']","Lead and manage the QA team, including test planning, resource allocation, and test strategy development. Define quality standards and metrics. Oversee QA processes and continuous improvement efforts.",Sun Pharmaceutical Industries,"{""Sector"":""Pharmaceuticals"",""Industry"":""Pharmaceuticals"",""City"":""Mumbai"",""State"":""Maharashtra"",""Zip"":""400063"",""Website"":""https://www.sunpharma.com/"",""Ticker"":""SUNPHARMA"",""CEO"":""Dilip Shanghvi""}","QA Engineer Lead and manage the QA team, including test planning, resource allocation, and test strategy development. Define quality standards and metrics. Oversee QA processes and continuous improvement efforts. Quality assurance Process improvement Team leadership Problem, solving Quality control",Engineering & Architecture,Engineering,82.5,2022Q3
248372,1091659278476261.0,5 to 12 Years,M.Com,65,64,129,Singapore,Intern,128557,2022-05-05,29,Business Development Manager,Market Expansion Manager,Idealist,"A Market Expansion Manager strategizes and executes plans to expand the companys presence in new markets, identifying growth opportunities and optimizing market penetration.","Employee Assistance Programs (EAP), Tuition Reimbursement, Profit-Sharing, Transportation Benefits, Parental Leave","['Market expansion strategies""', 'Market research""', 'Sales planning and execution]""]]]]]']",Develop and execute plans to expand market presence and reach new customers. Conduct market research and competitor analysis. Evaluate market trends and opportunities.,Volkswagen Group,"{""Sector"":""Automotive"",""Industry"":""Automotive"",""City"":""Wolfsburg"",""State"":""N/A"",""Zip"":""N/A"",""Website"":""www.volkswagenag.com"",""Ticker"":""VOW3"",""CEO"":""Herbert Diess""}",Business Development Manager Develop and execute plans to expand market presence and reach new customers. Conduct market research and competitor analysis. Evaluate market trends and opportunities. Market expansion strategies Market research Sales planning and execution,Construction & Civil Engineering,Engineering,96.5,2022Q2
249238,2644027873191786.0,1 to 8 Years,MBA,30,58,88,Singapore,Temporary,57467,2023-06-24,4,Mechanical Designer,CAD Technician,Internships.com,Create and modify technical drawings using computer-aided design (CAD) software for various engineering projects.,"Life and Disability Insurance, Stock Options or Equity Grants, Employee Recognition Programs, Health Insurance, Social and Recreational Activities","['Computer""', 'C""', 'A""', 'D""', 'Technical drawing""', 'Blueprint interpretation""', 'Drafting standards""', 'Engineering principles""', 'Collaboration with engineers""', 'Problem""', 'Attention to detail""', 'Communication skills 3""', 'D modeling]""]]]]]']",Use computer-aided design (CAD) software to create and revise technical drawings. Ensure drawings comply with industry standards. Support design projects with technical expertise.,Gap,"{""Sector"":""Retail"",""Industry"":""Specialty Retailers: Apparel"",""City"":""San Francisco"",""State"":""California"",""Zip"":""94105"",""Website"":""www.gapinc.com"",""Ticker"":""GPS"",""CEO"":""Bobby Martin""}","Mechanical Designer Use computer-aided design (CAD) software to create and revise technical drawings. Ensure drawings comply with industry standards. Support design projects with technical expertise. Computer, aided design , CAD,  software Technical drawing Blueprint interpretation Drafting standards Engineering principles Collaboration with engineers Problem, solving Attention to detail Communication skills 3D modeling , if applicable",Engineering & Architecture,Engineering,73.0,2023Q2
250006,995983000000000.0,2 to 8 Years,B.Tech,16,64,80,Singapore,Full-Time,126202,2021-01-12,4,Technical Writer,Content Writer,FlexJobs,"Content Writers create written content for various platforms. They produce articles, blog posts, and web content to inform, educate, or entertain audiences.","Transportation Benefits, Professional Development, Bonuses and Incentive Programs, Profit-Sharing, Employee Discounts","['Writing skills""', 'Content creation""', 'S""', 'E""', 'O knowledge""', 'Research skills""', 'Grammar and proofreading]""]]]]]']","Write informative and engaging content for websites, blogs, and marketing materials. Conduct research and interviews to gather information. Tailor content to target audiences.",Larsen & Toubro Infotech,"{""Sector"":""Information Technology"",""Industry"":""Information Technology Services"",""City"":""Mumbai"",""State"":""Maharashtra"",""Zip"":""400063"",""Website"":""https://www.lntinfotech.com/"",""Ticker"":""LTI"",""CEO"":""Sanjay Jalona""}","Technical Writer Write informative and engaging content for websites, blogs, and marketing materials. Conduct research and interviews to gather information. Tailor content to target audiences. Writing skills Content creation SEO knowledge Research skills Grammar and proofreading",Engineering & Architecture,Engineering,72.0,2021Q1
251324,1084083443508326.0,0 to 9 Years,MBA,22,62,84,Singapore,Intern,21080,2021-10-15,4,Technical Writer,Documentation Specialist,Idealist,"Documentation Specialists create and manage documents, manuals, or technical materials. They ensure accuracy, consistency, and accessibility of documentation.","Transportation Benefits, Professional Development, Bonuses and Incentive Programs, Profit-Sharing, Employee Discounts","['Document management""', 'Recordkeeping""', 'Attention to detail""', 'Data entry""', 'Organizational skills]""]]]]]']","Create technical documentation, manuals, and user guides for software, hardware, or products. Collaborate with subject matter experts and engineers. Ensure documentation accuracy and clarity.",Continental AG,"{""Sector"":""Automotive"",""Industry"":""Automotive"",""City"":""Hanover"",""State"":""N/A"",""Zip"":""N/A"",""Website"":""www.continental-corporation.com"",""Ticker"":""CON"",""CEO"":""Nikolai Setzer""}","Technical Writer Create technical documentation, manuals, and user guides for software, hardware, or products. Collaborate with subject matter experts and engineers. Ensure documentation accuracy and clarity. Document management Recordkeeping Attention to detail Data entry Organizational skills",Engineering & Architecture,Engineering,73.0,2021Q4
252170,3098729016129634.0,3 to 13 Years,PhD,37,60,97,Singapore,Temporary,115305,2021-11-16,4,Environmental Consultant,Environmental Compliance Officer,LinkedIn,"Environmental Compliance Officers ensure that organizations adhere to environmental regulations and standards. They conduct audits, develop compliance programs, and oversee efforts to minimize environmental impact and maintain regulatory compliance.","Employee Referral Programs, Financial Counseling, Health and Wellness Facilities, Casual Dress Code, Flexible Spending Accounts (FSAs)","['Environmental compliance""', 'Regulatory requirements""', 'Environmental impact assessments""', 'Reporting""', 'Environmental regulations""', 'Auditing]""]]]]]']",Ensure compliance with environmental laws and regulations. Conduct environmental assessments and audits. Develop and implement compliance strategies.,Infosys,"{""Sector"":""Information Technology"",""Industry"":""Information Technology and Services"",""City"":""Bengaluru"",""State"":""Karnataka"",""Zip"":""560100"",""Website"":""www.infosys.com"",""Ticker"":""INFY"",""CEO"":""Salil Parekh""}",Environmental Consultant Ensure compliance with environmental laws and regulations. Conduct environmental assessments and audits. Develop and implement compliance strategies. Environmental compliance Regulatory requirements Environmental impact assessments Reporting Environmental regulations Auditing,Engineering & Architecture,Engineering,78.5,2021Q4
253255,627235000000000.0,3 to 9 Years,BA,57,59,116,Singapore,Contract,64872,2022-10-08,4,Urban Planner,Environmental Planner,Jobs2Careers,Environmental Planners assess and mitigate the impact of projects on the environment. They ensure compliance with environmental regulations and promote sustainable practices.,"Life and Disability Insurance, Stock Options or Equity Grants, Employee Recognition Programs, Health Insurance, Social and Recreational Activities","['Environmental regulations""', 'Ecosystem analysis""', 'Environmental impact assessments""', 'Sustainability planning""', 'Project management]""]]]]]']",Focus on environmental impact assessments and sustainable urban development. Analyze environmental regulations and recommend compliance measures. Promote green infrastructure and sustainability practices.,Publix Super Markets,"{""Sector"":""Retail"",""Industry"":""Food and Drug Stores"",""City"":""Lakeland"",""State"":""Florida"",""Zip"":""33811"",""Website"":""www.publix.com"",""Ticker"":"""",""CEO"":""Todd Jones""}",Urban Planner Focus on environmental impact assessments and sustainable urban development. Analyze environmental regulations and recommend compliance measures. Promote green infrastructure and sustainability practices. Environmental regulations Ecosystem analysis Environmental impact assessments Sustainability planning Project management,Engineering & Architecture,Engineering,87.5,2022Q4
254054,1457868907025096.0,0 to 9 Years,M.Com,70,57,127,Singapore,Temporary,88660,2022-03-20,4,Architect,Project Architect,USAJOBS,"Project Architects lead architectural projects, from concept to completion, coordinating design teams, managing budgets, and ensuring compliance with regulations.","Childcare Assistance, Paid Time Off (PTO), Relocation Assistance, Flexible Work Arrangements, Professional Development","['Architectural project management""', 'Construction documents""', 'Building systems""', 'Design coordination""', 'Client communication]""]]]]]']","Lead architectural projects, from concept design to construction supervision. Collaborate with clients, engineers, and contractors. Develop project timelines and budgets.",Equitable Holdings,"{""Sector"":""Insurance"",""Industry"":""Insurance: Life, Health (Stock)"",""City"":""New York"",""State"":""New York"",""Zip"":""10104"",""Website"":""www.equitableholdings.com"",""Ticker"":""EQH"",""CEO"":""Mark Pearson""}","Architect Lead architectural projects, from concept design to construction supervision. Collaborate with clients, engineers, and contractors. Develop project timelines and budgets. Architectural project management Construction documents Building systems Design coordination Client communication",Engineering & Architecture,Engineering,92.0,2022Q1
255089,535161000000000.0,0 to 11 Years,MCA,35,57,92,Singapore,Contract,47148,2021-12-10,4,Electrical Designer,Electrical Engineer,Indeed,"Electrical Engineers design and develop electrical systems and devices. They work on projects such as power generation, electronics, and control systems for various industries.","Casual Dress Code, Social and Recreational Activities, Employee Referral Programs, Health and Wellness Facilities, Life and Disability Insurance","['Electrical engineering""', 'Circuit design""', 'Electronics""', 'Auto""', 'C""', 'A""', 'D proficiency""', 'Problem]""]]]]]']",Design electrical systems and components for buildings and infrastructure projects. Ensure compliance with electrical codes and safety standards. Collaborate with architects and contractors.,AmerisourceBergen,"{""Sector"":""Healthcare"",""Industry"":""Wholesalers: Health Care"",""City"":""Conshohocken"",""State"":""Pennsylvania"",""Zip"":""19428"",""Website"":""www.amerisourcebergen.com"",""Ticker"":""ABC"",""CEO"":""Steven H. Collis""}","Electrical Designer Design electrical systems and components for buildings and infrastructure projects. Ensure compliance with electrical codes and safety standards. Collaborate with architects and contractors. Electrical engineering Circuit design Electronics AutoCAD proficiency Problem, solving",Engineering & Architecture,Engineering,74.5,2021Q4
262167,251937000000000.0,5 to 12 Years,M.Tech,36,59,95,Singapore,Part-Time,41106,2022-12-25,4,Electrical Designer,PCB Designer,ZipRecruiter,"PCB Designers specialize in designing printed circuit boards (PCBs). They create PCB layouts, ensure proper connectivity, and consider electrical and mechanical requirements.","Employee Assistance Programs (EAP), Tuition Reimbursement, Profit-Sharing, Transportation Benefits, Parental Leave","['P""', 'C""', 'B design""', 'Electronics""', 'P""', 'C""', 'B layout software proficiency""', 'Circuit design""', 'Quality control]""]]]]]']",Design printed circuit boards (PCBs) for electronic devices and systems. Create schematics and layouts. Optimize PCBs for performance and manufacturability.,HSBC (Hongkong and Shanghai Banking Corporation),"{""Sector"":""Banking"",""Industry"":""Banking"",""City"":""London"",""State"":""N/A"",""Zip"":""N/A"",""Website"":""www.hsbc.com"",""Ticker"":""HSBC"",""CEO"":""Noel Quinn""}",Electrical Designer Design printed circuit boards (PCBs) for electronic devices and systems. Create schematics and layouts. Optimize PCBs for performance and manufacturability. PCB design Electronics PCB layout software proficiency Circuit design Quality control,Engineering & Architecture,Engineering,77.0,2022Q4
262358,1165048964443222.0,2 to 15 Years,MBA,47,65,112,Singapore,Contract,107499,2023-11-05,4,Urban Planner,Environmental Planner,The Muse,Environmental Planners assess and mitigate the impact of projects on the environment. They ensure compliance with environmental regulations and promote sustainable practices.,"Childcare Assistance, Paid Time Off (PTO), Relocation Assistance, Flexible Work Arrangements, Professional Development","['Environmental regulations""', 'Ecosystem analysis""', 'Environmental impact assessments""', 'Sustainability planning""', 'Project management]""]]]]]']",Focus on environmental impact assessments and sustainable urban development. Analyze environmental regulations and recommend compliance measures. Promote green infrastructure and sustainability practices.,Warner Bros. Discovery,"{""Sector"":""Entertainment"",""Industry"":""Entertainment"",""City"":""New York"",""State"":""New York"",""Zip"":""10003"",""Website"":""www.wbd.com"",""Ticker"":""WBD"",""CEO"":""David M. Zaslav""}",Urban Planner Focus on environmental impact assessments and sustainable urban development. Analyze environmental regulations and recommend compliance measures. Promote green infrastructure and sustainability practices. Environmental regulations Ecosystem analysis Environmental impact assessments Sustainability planning Project management,Engineering & Architecture,Engineering,88.5,2023Q4
264134,2131657121045762.0,4 to 14 Years,BA,69,61,130,Singapore,Intern,25383,2023-06-24,4,Architect,Project Architect,Monster,"Project Architects lead architectural projects, from concept to completion, coordinating design teams, managing budgets, and ensuring compliance with regulations.","Employee Assistance Programs (EAP), Tuition Reimbursement, Profit-Sharing, Transportation Benefits, Parental Leave","['Architectural project management""', 'Construction documents""', 'Building systems""', 'Design coordination""', 'Client communication]""]]]]]']","Lead architectural projects, from concept design to construction supervision. Collaborate with clients, engineers, and contractors. Develop project timelines and budgets.",Publix Super Markets,"{""Sector"":""Retail"",""Industry"":""Food and Drug Stores"",""City"":""Lakeland"",""State"":""Florida"",""Zip"":""33811"",""Website"":""www.publix.com"",""Ticker"":"""",""CEO"":""Todd Jones""}","Architect Lead architectural projects, from concept design to construction supervision. Collaborate with clients, engineers, and contractors. Develop project timelines and budgets. Architectural project management Construction documents Building systems Design coordination Client communication",Engineering & Architecture,Engineering,95.5,2023Q2
266444,2921718616731905.0,4 to 11 Years,PhD,30,59,89,Singapore,Part-Time,103667,2023-12-03,4,Product Designer,Industrial Designer,Idealist,"An Industrial Designer creates and improves product designs, focusing on aesthetics, functionality, and user experience to produce innovative and marketable products.","Employee Referral Programs, Financial Counseling, Health and Wellness Facilities, Casual Dress Code, Flexible Spending Accounts (FSAs)","['Industrial design principles""', 'C""', 'A""', 'D and 3""', 'D modeling""', 'Prototyping and testing]""]]]]]']","Focus on the physical design and aesthetics of products. Develop product concepts, sketches, and 3D models. Collaborate with engineers for product feasibility.",DISH Network,"{""Sector"":""Telecommunications"",""Industry"":""Telecommunications"",""City"":""Englewood"",""State"":""Colorado"",""Zip"":""80112"",""Website"":""www.dish.com"",""Ticker"":""DISH"",""CEO"":""Erik Carlson""}","Product Designer Focus on the physical design and aesthetics of products. Develop product concepts, sketches, and 3D models. Collaborate with engineers for product feasibility. Industrial design principles CAD and 3D modeling Prototyping and testing",Engineering & Architecture,Engineering,74.0,2023Q4
267562,52380900000000.0,3 to 15 Years,M.Tech,27,63,90,Singapore,Temporary,126407,2023-04-21,4,Environmental Consultant,Sustainability Consultant,Jobs2Careers,"Sustainability Consultants advise organizations on sustainable practices and strategies. They assess environmental impact, recommend sustainability initiatives, and assist in the development and implementation of sustainable policies.","Tuition Reimbursement, Stock Options or Equity Grants, Parental Leave, Wellness Programs, Childcare Assistance","['Sustainability consulting""', 'Sustainability assessments""', 'Sustainable practices""', 'Green building standards""', 'Environmental policies""', 'Client communication]""]]]]]']","Focus on sustainable practices and initiatives, advising clients on reducing their environmental footprint. Develop sustainability plans and strategies. Conduct sustainability audits and reporting.",HSBC (Hongkong and Shanghai Banking Corporation),"{""Sector"":""Banking"",""Industry"":""Banking"",""City"":""London"",""State"":""N/A"",""Zip"":""N/A"",""Website"":""www.hsbc.com"",""Ticker"":""HSBC"",""CEO"":""Noel Quinn""}","Environmental Consultant Focus on sustainable practices and initiatives, advising clients on reducing their environmental footprint. Develop sustainability plans and strategies. Conduct sustainability audits and reporting. Sustainability consulting Sustainability assessments Sustainable practices Green building standards Environmental policies Client communication",Engineering & Architecture,Engineering,76.5,2023Q2
